id,name
378,CnDali
379,MmPagan
380,ThSukho
381,LaLanXang
382,MmAva
383,MySultM
384,InMahaJ
385,InSunga
386,PkWSatrp
387,InYaudh
388,InGupta
389,InKamar
390,InMagad
391,InMaitr
392,InGurPr
393,InMaukh
394,CnTibet
395,InKarkt
396,InPala
397,InChol*
398,InUtpal
399,InSolan
400,InChandel
401,InChauh
402,InParam
403,InLohar
404,InGanga
405,InGhdvl
406,InKalch
407,InKakat
408,InYadav
409,BdBengl
410,InKashm
411,InBahma
412,InSharq
413,InBijap
414,InGangN
415,InGangC
416,InAyodE
417,InKanau
418,InGurjr
419,CnYngsh
420,CnLngsh
421,CnErlit
422,CnErlig
423,CnZhuWS
424,CnWeiWS
425,CnNSong
426,CnSSong
427,MlJeJe1
428,MlJeJe2
429,MrWagdE
430,MlJeJe3
431,MlJeJe4
432,MaSaadi
433,MlSegou
434,MlBaman
435,CoNahua
436,CoTairo
437,MnXngnE
438,MnXianb
439,MnShiwe
440,MnTurk2
441,MnKhit
442,MnMongE
443,MnMongL
444,MnZungh
445,PgOrokE
446,PgOrokL
447,FrBeakr
448,FrAtlBA
449,FrHallA
450,FrHallB
451,FrHallC
452,FrHallD
453,FrTeneA
454,FrTeneB
455,FrTeneC
456,FrMervL
457,FrCaptE
458,FrCaptL
459,FrValoL
460,FrBurbE
461,FrBurbL
462,TjSaraz
463,KzAndro
464,UzKok01
465,UzKhw01
466,UzKok02
467,AfTochr
468,UzSogdi
469,UzJanid
470,CnHQngL
471,CnHChin
472,IqSoNeo
473,IqUbaid
474,IqUruk*
475,IqEDyn*
476,IqAkkad
477,IqUrIII
478,IqIsinL
479,IqBabAm
480,IqIsin2
481,IqBazi*
482,IqDynE*
483,IrPart2
484,IqAbbs2
485,IrPrCer
486,IrForma
487,IrArcha
488,IrKhzE*
489,IrKhzEM
490,IrKhzM*
491,IrKhzL*
492,IrSusa1
493,IrSusa2
494,IrSusa3
495,IrAwanE
496,IrShima
497,IrSukkE
498,IrSukkL
499,IrMElm1
500,IrMElm2
501,IrMElm3
502,IrElmCP
503,IrNElm1
504,IrNElm2
505,IrNElm3
506,GrMaced
507,IrElym2
508,IrAkKoy
509,IrQajar
510,EgBadar
511,EgNaqa1
512,EgNaqa2
513,EgNaqa3
514,EgDyn1*
515,EgDyn2*
516,EgOldK1
517,EgOldK2
518,EgRegns
519,EgMidKg
520,EgThebH
521,SdKusht
522,MxTieLa
523,MxSanGu
524,MxRosar
525,MxAlb1E
526,MxAlb1L
527,MxAlb2*
528,MxAlb3A
529,MxAlb3B
530,MxAlbEP
531,MxAlbLP
532,MxAlb5*
533,UgEarlyNyoro
534,UgCwezi
535,UgBito
536,YeNeoL*
537,YeLBA**
538,YeSabaC
539,YeQatab
540,YeSaRay
541,YeQasmi
542,YeOttoL
543,CnPeili
544,ItVenR3
545,ItVenR4
546,Cn5Dyna
547,CnWei3*
548,ItRomLA
549,CuzcLI2
550,CuzcLI1
551,CuzcEI2
552,CuzcEI1
553,CuzcoLF
554,MnKhit2
555,InBritP
556,InEInCo
557,GapDec
558,GapKP1
559,GrCrVen
