id,name
378,CnBaiyu
379,CnNanzh
380,IdSrivi
381,CnDali
382,MmPagan
383,ThSukho
384,LaLanXang
385,MmAva
386,MySultM
387,InMahaJ
388,InSunga
389,PkWSatrp
390,InYaudh
391,InGupta
392,InKamar
393,InMagad
394,InMaitr
395,InGurPr
396,InMaukh
397,CnTibet
398,InKarkt
399,InPala
400,InChol*
401,InUtpal
402,InSolan
403,InChandel
404,InChauh
405,InParam
406,InLohar
407,InGanga
408,InGhdvl
409,InKalch
410,InKakat
411,InYadav
412,BdBengl
413,InKashm
414,InBahma
415,InSharq
416,InBijap
417,InGangN
418,InGangC
419,InAyodE
420,InKanau
421,InGurjr
422,CnYngsh
423,CnLngsh
424,CnErlit
425,CnErlig
426,CnZhuWS
427,CnWeiWS
428,CnNSong
429,CnSSong
430,MlJeJe1
431,MlJeJe2
432,MrWagdE
433,MlJeJe3
434,MlJeJe4
435,MaSaadi
436,MlSegou
437,MlBaman
438,CoNahua
439,CoTairo
440,MnXngnE
441,MnXianb
442,MnShiwe
443,MnTurk2
444,MnKhit
445,MnMongE
446,MnMongL
447,MnZungh
448,PgOrokE
449,PgOrokL
450,FrBeakr
451,FrAtlBA
452,FrHallA
453,FrHallB
454,FrHallC
455,FrHallD
456,FrTeneA
457,FrTeneB
458,FrTeneC
459,FrMervL
460,FrCaptE
461,FrCaptL
462,FrValoL
463,FrBurbE
464,FrBurbL
465,TjSaraz
466,KzAndro
467,UzKok01
468,UzKhw01
469,UzKok02
470,AfTochr
471,UzSogdi
472,UzJanid
473,CnHQngL
474,CnHChin
475,IqSoNeo
476,IqUbaid
477,IqUruk*
478,IqEDyn*
479,IqAkkad
480,IqUrIII
481,IqIsinL
482,IqBabAm
483,IqIsin2
484,IqBazi*
485,IqDynE*
486,IrPart2
487,IqAbbs2
488,IrPrCer
489,IrForma
490,IrArcha
491,IrKhzE*
492,IrKhzEM
493,IrKhzM*
494,IrKhzL*
495,IrSusa1
496,IrSusa2
497,IrSusa3
498,IrAwanE
499,IrShima
500,IrSukkE
501,IrSukkL
502,IrMElm1
503,IrMElm2
504,IrMElm3
505,IrElmCP
506,IrNElm1
507,IrNElm2
508,IrNElm3
509,GrMaced
510,IrElym2
511,IrAkKoy
512,IrQajar
513,EgBadar
514,EgNaqa1
515,EgNaqa2
516,EgNaqa3
517,EgDyn1*
518,EgDyn2*
519,EgOldK1
520,EgOldK2
521,EgRegns
522,EgMidKg
523,EgThebH
524,SdKusht
525,MxTieLa
526,MxSanGu
527,MxRosar
528,MxAlb1E
529,MxAlb1L
530,MxAlb2*
531,MxAlb3A
532,MxAlb3B
533,MxAlbEP
534,MxAlbLP
535,MxAlb5*
536,UgEarlyNyoro
537,UgCwezi
538,UgBito
539,YeNeoL*
540,YeLBA**
